usage_date,account_id,team,service,region,cost_usd,usage_amount
2025-03-16,820234769962,beta,CloudWatch,us-east-1,16.4612,0.782
2025-03-16,799954955160,beta,S3,eu-west-1,19.7799,0.752
2025-03-16,358615514289,gamma,EC2,us-west-2,8.2508,0.84
2025-03-16,598366683552,gamma,EC2,eu-west-1,1.699,0.299
2025-03-16,233556183067,beta,Lambda,eu-west-1,14.8346,0.684
2025-03-16,205184563422,beta,CloudWatch,us-east-1,24.5573,0.969
2025-03-16,413595558256,alpha,EC2,eu-west-1,8.4768,0.402
2025-03-16,261796370915,alpha,EC2,eu-west-1,17.1081,0.07
2025-03-16,593653475232,alpha,Lambda,us-east-1,22.2295,0.404
2025-03-16,644691199333,alpha,EC2,us-west-2,19.5672,0.24
2025-03-16,419224490716,gamma,EC2,us-east-1,10.4889,0.232
2025-03-16,114407455909,alpha,RDS,us-east-1,8.5378,0.833
2025-03-16,509501966384,gamma,RDS,us-east-1,11.9454,0.83
2025-03-17,911344369642,gamma,EC2,us-east-1,23.4796,7.835
2025-03-17,659091503566,beta,S3,us-west-2,4.3603,4.005
2025-03-17,885072546340,beta,EC2,eu-west-1,24.9697,9.447
2025-03-17,989727393051,beta,RDS,eu-west-1,21.0608,2.944
2025-03-17,142232226509,alpha,Lambda,us-west-2,5.4213,8.063
2025-03-17,888082642943,alpha,RDS,eu-west-1,1.9073,2.402
2025-03-17,857276673431,beta,RDS,us-east-1,11.6391,8.498
2025-03-17,677203616497,gamma,S3,us-east-1,9.7728,4.841
2025-03-17,986454832112,beta,S3,us-west-2,11.5248,4.37
2025-03-17,668656595685,alpha,RDS,eu-west-1,21.6137,2.056
2025-03-17,976666413656,beta,EC2,us-east-1,17.552,8.342
2025-03-17,207152394555,gamma,Lambda,eu-west-1,17.2535,6.895
2025-03-17,186826756958,gamma,S3,us-east-1,0.38,5.997
2025-03-17,551768782678,beta,EC2,us-west-2,6.8092,3.6
2025-03-17,278768127944,alpha,EC2,us-east-1,8.5737,9.384
2025-03-17,191059081609,alpha,Lambda,eu-west-1,11.384,8.949
2025-03-17,129364536883,alpha,CloudWatch,us-west-2,19.169,2.2
2025-03-17,201901386323,beta,CloudWatch,us-west-2,2.2491,3.531
2025-03-17,127162207800,beta,EC2,eu-west-1,6.1924,8.749
2025-03-17,426556036769,alpha,EC2,eu-west-1,7.4396,5.017
2025-03-17,507310643216,beta,EC2,us-east-1,7.7601,7.485
2025-03-17,601072376751,alpha,CloudWatch,us-east-1,15.3032,8.137
2025-03-17,278699663532,beta,S3,us-east-1,14.4307,2.75
2025-03-17,578399899839,beta,Lambda,us-east-1,22.0744,8.134
2025-03-17,453540942518,gamma,S3,eu-west-1,22.0812,8.485
2025-03-17,309873828502,alpha,S3,us-east-1,1.8531,9.187
2025-03-17,566670031847,alpha,Lambda,us-west-2,18.5109,3.446
2025-03-17,420976263123,gamma,Lambda,us-west-2,15.6535,9.125
2025-03-17,440950685897,alpha,CloudWatch,us-east-1,1.036,8.833
2025-03-17,779983484269,gamma,Lambda,eu-west-1,22.5339,2.093
2025-03-17,915155481593,alpha,S3,eu-west-1,24.2753,6.433
2025-03-17,893205335861,alpha,RDS,us-west-2,1.4112,4.384
2025-03-17,732419242388,beta,CloudWatch,eu-west-1,18.5485,7.342
2025-03-17,283306350405,beta,Lambda,us-west-2,13.3034,7.388
2025-03-17,291318509005,beta,Lambda,us-west-2,1.7497,5.474
2025-03-17,400092303359,beta,EC2,eu-west-1,15.0927,7.141
2025-03-17,146648007182,gamma,RDS,us-west-2,24.8459,6.758
2025-03-17,512856486630,alpha,EC2,eu-west-1,0.1227,8.163
2025-03-17,605347164489,alpha,CloudWatch,us-west-2,18.0935,8.286
2025-03-17,786599793376,alpha,Lambda,us-east-1,20.2016,6.306
2025-03-17,900927939117,alpha,CloudWatch,eu-west-1,11.1117,5.323
2025-03-17,394325931193,gamma,RDS,us-west-2,10.9094,8.384
2025-03-17,929839413522,gamma,Lambda,eu-west-1,21.2213,2.675
2025-03-17,300543169016,beta,Lambda,us-west-2,12.7876,6.053
2025-03-17,187915309209,alpha,CloudWatch,eu-west-1,17.542,7.687
2025-03-17,789561413481,alpha,CloudWatch,us-west-2,18.0616,4.327
2025-03-17,120924232744,alpha,S3,us-west-2,22.2038,8.078
2025-03-17,700545291059,beta,EC2,us-west-2,5.3494,3.525
2025-03-17,210261654273,alpha,CloudWatch,eu-west-1,3.643,6.421
2025-03-17,959229368341,beta,CloudWatch,us-east-1,2.9935,2.823
2025-03-17,739514181139,beta,S3,us-west-2,12.5503,8.258
2025-03-17,624275892499,alpha,RDS,us-east-1,23.7603,4.567
2025-03-17,536612435771,gamma,RDS,eu-west-1,23.3688,2.959
2025-03-17,387002861186,gamma,RDS,us-west-2,11.706,2.165
2025-03-17,745733964245,alpha,EC2,us-east-1,17.5187,7.753
2025-03-17,994294325758,alpha,RDS,us-west-2,19.4132,8.685
2025-03-17,724822947833,alpha,CloudWatch,us-west-2,22.2166,3.519
2025-03-17,759649774608,gamma,EC2,us-west-2,7.4228,8.948
2025-03-17,526247420204,beta,EC2,us-east-1,8.0291,5.11
2025-03-17,172849136647,gamma,Lambda,eu-west-1,3.5052,4.807
2025-03-18,774078954153,alpha,RDS,eu-west-1,21.6016,7.321
2025-03-18,188667580760,beta,EC2,us-west-2,22.3558,5.331
2025-03-18,329905721373,beta,CloudWatch,eu-west-1,10.8737,4.889
2025-03-18,737703142040,gamma,EC2,us-west-2,18.6645,8.529
2025-03-18,565155636437,beta,RDS,us-east-1,23.5283,8.078
2025-03-18,291189707923,alpha,RDS,us-west-2,20.9527,2.67
2025-03-18,767375705421,alpha,RDS,eu-west-1,1.6599,3.944
2025-03-18,367746682521,beta,S3,us-west-2,16.4673,6.362
2025-03-18,757800807918,alpha,CloudWatch,eu-west-1,5.0791,4.265
2025-03-18,539381047036,gamma,Lambda,eu-west-1,11.3144,5.232
2025-03-18,878265442792,beta,CloudWatch,eu-west-1,7.1038,4.815
2025-03-18,547214660977,alpha,RDS,us-east-1,12.8925,2.482
2025-03-18,277365365683,beta,S3,us-east-1,7.2125,6.137
2025-03-18,969914609387,gamma,EC2,eu-west-1,20.9147,4.628
2025-03-18,208883197567,gamma,RDS,eu-west-1,0.0663,2.417
2025-03-18,788152467609,beta,CloudWatch,us-west-2,15.9967,8.832
2025-03-18,692690658986,alpha,Lambda,us-east-1,21.0432,3.957
2025-03-18,310708573505,beta,S3,us-west-2,5.2026,9.743
2025-03-18,786278237672,gamma,EC2,us-east-1,15.7551,8.539
2025-03-18,779074616851,beta,Lambda,eu-west-1,1.3943,4.37
2025-03-18,311239964774,beta,EC2,eu-west-1,0.6387,2.525
2025-03-18,776176096289,beta,RDS,eu-west-1,9.7356,2.29
2025-03-18,613880154764,alpha,RDS,eu-west-1,2.6009,7.814
2025-03-18,489331926238,gamma,S3,us-east-1,23.5344,9.255
2025-03-18,480356887180,beta,Lambda,us-east-1,23.8532,8.512
2025-03-18,182819942540,alpha,CloudWatch,us-west-2,20.2242,6.187
2025-03-18,546503632390,gamma,S3,eu-west-1,14.0546,8.002
2025-03-18,765540544523,gamma,EC2,us-east-1,4.0933,3.457
2025-03-18,336191489966,alpha,S3,us-east-1,23.9887,8.293
2025-03-18,905355577510,alpha,RDS,us-west-2,7.0841,2.939
2025-03-18,673612926456,gamma,CloudWatch,eu-west-1,18.5838,2.606
2025-03-18,126355259321,beta,CloudWatch,eu-west-1,10.7933,2.517
2025-03-18,290633169694,alpha,RDS,us-west-2,10.4498,2.88
2025-03-18,247024258621,alpha,S3,us-east-1,4.3566,2.341
2025-03-18,887949661495,beta,Lambda,us-west-2,12.8665,8.802
2025-03-18,485668284743,alpha,EC2,us-west-2,15.8764,9.368
2025-03-18,671833921277,alpha,EC2,us-west-2,16.9501,8.557
2025-03-18,556218325422,beta,EC2,us-west-2,9.9673,2.935
2025-03-18,480837317149,gamma,EC2,us-west-2,22.5631,8.043
2025-03-18,106253960488,gamma,RDS,us-west-2,22.9742,2.317
2025-03-18,583215523220,beta,S3,eu-west-1,7.8435,8.187
2025-03-18,354694551471,beta,RDS,us-west-2,0.319,3.239
2025-03-18,408832801006,gamma,RDS,us-west-2,21.7465,6.736
2025-03-18,415500575804,gamma,S3,eu-west-1,15.2096,7.519
2025-03-18,317502990532,gamma,EC2,us-west-2,8.6316,2.439
2025-03-18,874223674900,alpha,Lambda,us-west-2,6.9755,7.569
2025-03-18,345447058099,gamma,EC2,eu-west-1,5.8186,5.433
2025-03-18,542052064288,alpha,EC2,us-east-1,14.0684,7.777
2025-03-18,908753203337,gamma,Lambda,us-east-1,14.4704,3.225
2025-03-18,851581518530,gamma,RDS,us-east-1,11.6424,7.634
2025-03-18,183012784534,beta,S3,us-west-2,24.0116,7.965
2025-03-18,770204207605,beta,S3,eu-west-1,22.309,6.167
2025-03-18,702093917772,alpha,S3,us-east-1,13.9985,4.597
2025-03-18,882121491809,alpha,S3,us-west-2,8.0374,8.675
2025-03-18,565950781228,beta,S3,us-west-2,19.1089,6.432
2025-03-18,388992823020,alpha,EC2,eu-west-1,6.9631,7.693
2025-03-18,757084113218,beta,CloudWatch,eu-west-1,7.6391,6.975
2025-03-18,822999449128,beta,S3,us-east-1,8.7174,6.924
2025-03-18,996484560727,alpha,EC2,us-west-2,22.4822,2.692
2025-03-18,639699142259,beta,RDS,us-east-1,20.6579,3.41
2025-03-19,437823096359,gamma,EC2,us-east-1,17.2968,5.653
2025-03-19,340782777113,gamma,RDS,us-east-1,3.1134,2.13
2025-03-19,110649055765,beta,CloudWatch,us-east-1,12.9625,9.327
2025-03-19,466093636874,gamma,CloudWatch,eu-west-1,4.7329,8.083
2025-03-19,574256356062,beta,CloudWatch,us-west-2,5.6633,2.31
2025-03-19,260170597041,beta,CloudWatch,us-west-2,2.293,5.234
2025-03-19,325340377873,gamma,RDS,us-west-2,21.363,5.557
2025-03-19,772792310734,beta,S3,us-west-2,6.4476,5.131
2025-03-19,835682384756,alpha,Lambda,eu-west-1,9.2006,4.926
2025-03-19,658678430535,alpha,S3,us-west-2,3.2813,7.219
2025-03-19,663825678375,beta,EC2,us-west-2,19.2042,7.374
2025-03-19,945173938776,beta,S3,us-east-1,9.6771,8.859
2025-03-19,466515386459,beta,RDS,us-west-2,10.6352,3.265
2025-03-19,595764082128,alpha,RDS,us-east-1,21.6102,7.048
2025-03-19,468957319557,alpha,RDS,us-east-1,19.2669,8.915
2025-03-19,484755537314,gamma,RDS,us-east-1,24.9246,4.05
2025-03-19,294831558344,gamma,EC2,us-west-2,20.2589,5.775
2025-03-19,553122442432,gamma,Lambda,us-east-1,22.8037,8.02
2025-03-19,665679961054,gamma,Lambda,us-east-1,18.0987,9.529
2025-03-19,512216626781,alpha,EC2,us-west-2,11.2981,3.205
2025-03-19,162908751293,alpha,EC2,us-west-2,23.8309,9.631
2025-03-19,162350855779,beta,Lambda,us-east-1,9.4585,6.865
2025-03-19,137796211289,beta,CloudWatch,us-east-1,4.6855,6.918
2025-03-19,236581426295,beta,CloudWatch,eu-west-1,5.0357,8.25
2025-03-19,867567085790,gamma,CloudWatch,us-west-2,4.0983,3.689
2025-03-19,732315364955,gamma,EC2,eu-west-1,13.9182,6.841
2025-03-19,946615950966,gamma,CloudWatch,us-west-2,24.1996,8.493
2025-03-19,760695780624,gamma,RDS,eu-west-1,4.9377,8.712
2025-03-19,180055657164,beta,S3,us-east-1,1.6462,4.158
2025-03-19,261954390472,gamma,EC2,us-west-2,18.4318,8.654
2025-03-19,435859379317,alpha,EC2,eu-west-1,4.7647,9.923
2025-03-19,812163855083,gamma,RDS,us-east-1,4.9266,3.086
2025-03-19,409107126704,gamma,CloudWatch,us-west-2,10.1434,7.404
2025-03-19,694053276605,alpha,CloudWatch,us-east-1,24.0726,4.174
2025-03-19,575508943725,alpha,RDS,eu-west-1,13.9446,7.761
2025-03-19,450963587276,beta,RDS,us-east-1,14.4937,9.247
2025-03-19,399890869250,alpha,EC2,eu-west-1,15.7791,6.649
2025-03-19,145841527209,alpha,Lambda,eu-west-1,16.0034,2.07
2025-03-19,482762378263,gamma,S3,us-east-1,22.829,6.068
2025-03-19,814845587541,alpha,Lambda,eu-west-1,19.0167,4.959
2025-03-19,171237902443,alpha,S3,eu-west-1,16.6988,8.003
2025-03-19,739344642017,gamma,RDS,us-east-1,23.5496,7.16
2025-03-19,400569085699,gamma,RDS,us-west-2,4.4763,4.805
2025-03-19,466797523782,gamma,RDS,us-west-2,11.2347,9.007
2025-03-19,310881228999,beta,CloudWatch,eu-west-1,6.3665,3.698
2025-03-19,388555961603,gamma,CloudWatch,us-west-2,3.0742,6.088
2025-03-19,284528380217,beta,CloudWatch,us-west-2,3.5834,9.016
2025-03-19,881314415809,beta,Lambda,us-east-1,1.1254,7.296
2025-03-19,743998757594,alpha,CloudWatch,us-west-2,15.0259,4.849
2025-03-19,140767371733,beta,RDS,us-east-1,15.1411,7.53
2025-03-19,481492744935,alpha,CloudWatch,us-east-1,21.6823,9.473
2025-03-19,441065878343,alpha,EC2,us-west-2,24.0878,9.624
2025-03-19,400062095945,alpha,EC2,us-east-1,14.3913,5.364
2025-03-19,153290994801,alpha,Lambda,us-west-2,16.0938,7.372
2025-03-19,375994990966,beta,RDS,us-west-2,1.2944,9.367
2025-03-19,628494316837,beta,Lambda,us-west-2,5.4275,6.172
2025-03-19,565347848812,alpha,EC2,us-west-2,4.4749,3.219
2025-03-19,500085155992,gamma,RDS,us-west-2,0.7332,5.921
2025-03-19,628552407862,gamma,Lambda,us-east-1,23.6413,7.085
2025-03-19,961809222457,alpha,S3,us-west-2,21.4519,7.055
2025-03-20,159609635717,beta,EC2,eu-west-1,7.1206,6.701
2025-03-20,245569909786,alpha,Lambda,us-east-1,24.0842,6.321
2025-03-20,104026533214,beta,CloudWatch,us-east-1,11.4933,6.444
2025-03-20,717801232258,gamma,Lambda,us-east-1,21.9468,3.058
2025-03-20,185765011196,alpha,CloudWatch,eu-west-1,23.3759,3.717
2025-03-20,212386160122,alpha,CloudWatch,eu-west-1,13.9246,8.99
2025-03-20,286155431316,alpha,EC2,us-east-1,23.216,8.849
2025-03-20,569197278887,beta,RDS,us-east-1,7.6283,8.77
2025-03-20,720797894318,beta,Lambda,us-east-1,21.2218,7.27
2025-03-20,822434660042,alpha,S3,eu-west-1,16.2248,5.869
2025-03-20,573354258892,alpha,RDS,us-west-2,4.8276,3.252
2025-03-20,267483403560,alpha,CloudWatch,eu-west-1,0.0532,8.269
2025-03-20,970150145033,alpha,RDS,eu-west-1,8.16,6.527
2025-03-20,920506428291,beta,Lambda,eu-west-1,23.7242,8.786
2025-03-20,823258278063,alpha,S3,us-west-2,10.9422,6.253
2025-03-20,320682491926,beta,RDS,eu-west-1,10.3588,4.694
2025-03-20,617048837985,alpha,CloudWatch,us-west-2,2.3275,8.271
2025-03-20,449377846085,gamma,EC2,us-east-1,10.6507,7.927
2025-03-20,916841686558,beta,EC2,eu-west-1,22.9825,3.711
2025-03-20,191443234226,beta,EC2,eu-west-1,22.2584,6.103
2025-03-20,646406430936,beta,Lambda,us-east-1,6.7639,7.038
2025-03-20,965037573661,alpha,CloudWatch,eu-west-1,0.287,4.923
2025-03-20,794946096311,beta,RDS,eu-west-1,8.7158,7.258
2025-03-20,327563051131,gamma,RDS,us-east-1,14.578,5.353
2025-03-20,718259088245,beta,CloudWatch,eu-west-1,15.3184,9.137
2025-03-20,279510028787,beta,S3,us-east-1,1.8814,5.954
2025-03-20,447181417664,beta,CloudWatch,us-east-1,9.3756,2.721
2025-03-20,483648639996,gamma,S3,us-west-2,21.3864,3.676
2025-03-20,303138390231,beta,EC2,us-east-1,11.0447,7.097
2025-03-20,406928361724,alpha,RDS,us-east-1,4.6885,6.618
2025-03-20,730356977228,beta,S3,us-west-2,11.175,3.713
2025-03-20,470272611310,beta,RDS,us-west-2,0.7315,4.765
2025-03-20,309921031452,alpha,EC2,eu-west-1,22.8785,8.663
2025-03-20,995767999246,gamma,EC2,eu-west-1,6.032,2.936
2025-03-20,463524735615,alpha,Lambda,us-east-1,13.3975,5.392
2025-03-20,558277729689,beta,S3,us-west-2,13.5594,3.791
2025-03-20,149384085002,gamma,Lambda,eu-west-1,7.7746,9.004
2025-03-20,773054074413,beta,RDS,eu-west-1,17.8991,6.444
2025-03-20,577689087284,gamma,RDS,us-east-1,13.2984,7.734
2025-03-20,108542438225,gamma,S3,us-east-1,17.5598,2.267
2025-03-20,990841041211,beta,S3,us-west-2,12.1283,8.875
2025-03-20,713899982750,beta,RDS,eu-west-1,12.096,8.634
2025-03-20,373610546671,alpha,Lambda,us-east-1,1.7235,9.447
2025-03-20,360027670311,beta,RDS,us-east-1,13.8217,9.426
2025-03-20,684150920574,alpha,EC2,us-west-2,18.716,3.115
2025-03-20,513039242688,gamma,Lambda,eu-west-1,11.7448,4.238
2025-03-20,920683418181,gamma,RDS,us-west-2,5.1474,5.414
2025-03-20,700541270473,gamma,RDS,us-east-1,18.2639,4.352
2025-03-20,676056268064,gamma,Lambda,us-east-1,11.232,9.045
2025-03-20,156026754569,alpha,S3,eu-west-1,23.9626,8.384
2025-03-20,610343786443,alpha,Lambda,us-west-2,1.8037,2.459
2025-03-20,919868811299,alpha,CloudWatch,us-east-1,13.0263,4.884
2025-03-20,938545217868,gamma,RDS,us-east-1,21.6181,7.385
2025-03-20,930569311451,alpha,CloudWatch,us-east-1,9.5334,7.557
2025-03-20,771593373306,beta,Lambda,us-east-1,6.179,2.124
2025-03-20,482080050510,beta,CloudWatch,us-west-2,7.267,6.739
2025-03-20,732636415106,gamma,RDS,us-west-2,12.7633,5.476
2025-03-20,245249362251,gamma,EC2,us-east-1,17.1398,6.996
2025-03-20,612136535531,beta,CloudWatch,eu-west-1,21.5254,9.036
2025-03-20,873602105546,gamma,CloudWatch,eu-west-1,14.2398,9.523
2025-03-21,718191351936,beta,CloudWatch,us-east-1,23.4305,4.267
2025-03-21,285668953651,alpha,CloudWatch,us-west-2,7.2208,7.783
2025-03-21,630214077491,beta,Lambda,us-west-2,12.9677,7.153
2025-03-21,840990936834,alpha,RDS,us-west-2,24.9002,9.41
2025-03-21,500695937342,beta,RDS,eu-west-1,10.7297,3.918
2025-03-21,528301475274,gamma,EC2,eu-west-1,21.8864,2.102
2025-03-21,647170351666,gamma,CloudWatch,eu-west-1,10.0936,4.966
2025-03-21,578681006118,alpha,CloudWatch,us-east-1,9.6301,5.505
2025-03-21,792980225327,beta,EC2,us-east-1,20.1631,7.547
2025-03-21,869414710553,alpha,Lambda,us-west-2,21.3708,9.859
2025-03-21,848382816223,gamma,S3,us-east-1,19.3354,5.753
2025-03-21,465361821356,alpha,Lambda,us-west-2,14.9786,7.004
2025-03-21,330517850287,gamma,RDS,us-east-1,14.3625,7.697
2025-03-21,176219882682,alpha,EC2,us-west-2,5.5117,5.26
2025-03-21,170641983074,gamma,EC2,us-west-2,21.3885,4.305
2025-03-21,556222985266,beta,Lambda,us-west-2,4.0664,8.505
2025-03-21,223011196885,beta,Lambda,eu-west-1,15.9038,2.644
2025-03-21,481848565545,alpha,EC2,eu-west-1,13.6785,9.774
2025-03-21,602852308836,gamma,EC2,eu-west-1,11.7088,2.647
2025-03-21,645056383596,gamma,RDS,us-west-2,21.2435,8.426
2025-03-21,952124370573,beta,S3,us-west-2,8.3133,4.579
2025-03-21,835234300591,alpha,S3,us-west-2,9.2224,6.318
2025-03-21,437678598783,gamma,RDS,eu-west-1,8.711,6.7
2025-03-21,672401209154,beta,RDS,eu-west-1,20.7877,7.488
2025-03-21,934631626527,beta,S3,us-west-2,22.1195,7.096
2025-03-21,543193156203,gamma,Lambda,us-east-1,7.5892,8.974
2025-03-21,825155229147,alpha,EC2,eu-west-1,2.8522,6.254
2025-03-21,960183863584,gamma,S3,eu-west-1,0.9726,5.381
2025-03-21,895155582663,beta,RDS,eu-west-1,12.5972,7.062
2025-03-21,377728381389,gamma,S3,us-east-1,17.0804,7.143
2025-03-21,830866018316,alpha,Lambda,us-east-1,7.3636,5.729
2025-03-21,531585049183,alpha,EC2,us-west-2,24.7554,7.812
